No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
54,35.5,6.8,42.3,2 L,52,10000,3 L,14,3 L,1.8,8,0,0,14.69,77,50,Standard
55,34.5,11.2,45.8,1.9 L,52,5000,3 L,14,3 L,1.6,7.4,0,0,14.69,77,50,Standard
56,33.5,15.2,48.7,1.8 L,52,3000,3 L,14,3 L,1.5,7,0,0,14.69,77,50,Standard
57,39.4,9.6,49,2.9 L,54,6000,3 L,15,4 L,1.8,9.4,0,0,14.69,77,50,Standard
58,39.3,9.7,49,3.3 L,54,6000,12 L,15,4 L,1.8,9.3,0,0,14.69,77,50,Standard
59,44.1,9.6,53.7,3.8 L,56,6000,12 L,16,4 L,2,11.5,0,0,14.69,77,50,Standard
60,20.6,8,28.6,0,45,11000,0,10,0,1.1,3.1,0,0,14.69,77,50,Standard
61,24.4,7.8,32.2,0.5 L,47,11000,1 L,11,1 L,1.2,4.1,0,0,14.69,77,50,Standard
62,23.3,10.4,33.8,0.4 L,47,6000,1 L,11,1 L,1.1,3.7,0,0,14.69,77,50,Standard
63,28.2,7.8,36,1.4 L,49,10000,12 L,12,2 L,1.4,5.2,0,0,14.69,77,50,Standard
64,26.6,13,39.6,1.2 L,49,4000,12 L,12,2 L,1.3,4.6,0,0,14.69,77,50,Standard
65,30.8,8,38.8,5.2 L,50,8700,12 L,13,9 L,1.5,6.2,0,0,14.69,77,50,Standard
66,30.9,7.9,38.8,4.8 L,50,8700,0,13,9 L,1.5,6.2,0,0,14.69,77,50,Standard
67,35.3,7.5,42.8,2.5 L,52,8700,0,14,4 L,1.7,7.9,0,0,14.69,77,50,Standard
68,34.9,9.4,44.3,2.6 L,52,6700,5 L,14,4 L,1.7,7.6,0,0,14.69,77,50,Standard
69,39.5,8.9,48.4,0.3 L,54,6700,5 L,15,0,1.9,9.5,0,0,14.69,77,50,Standard
70,39.8,7.1,46.9,0.3 L,54,8700,5 L,15,0,1.9,9.8,0,0,14.69,77,50,Standard
71,44.1,10,54.1,0.3 L,56,5700,5 L,16,0,2,11.5,0,0,14.69,77,50,Standard
72,44.2,9.9,54.1,0,56,5700,0,16,0,2,11.5,0,0,14.69,77,50,Standard
73,50.3,5,55.3,0,58,9500,0,18,0,2.5,16.1,0,0,14.69,77,50,Standard
74,50.3,5,55.3,9.6 L,58,9500,0,18,11 L,2.5,16.1,0,0,14.69,77,50,Standard
75,52,4.9,57,5.4 L,59,9500,0,18,6 L,2.5,16.8,0,0,14.69,77,50,Standard
76,52,5,57,6.2 L,59,9500,8 L,18,6 L,2.5,16.8,0,0,14.69,77,50,Standard
77,56.5,4.4,60.9,7.8 L,61,9500,8 L,19,7 L,2.7,19.9,0,0,14.69,77,50,Standard
78,56.8,6,62.8,7.8 L,61,7500,8 L,19,7 L,2.7,19.5,0,0,14.69,77,50,Standard
79,56.9,5.9,62.8,6.9 L,61,7500,0,19,7 L,2.7,19.6,0,0,14.69,77,50,Standard
80,56.9,5.9,62.8,3.2 L,61,7500,2 L,19,3 L,2.7,19.6,0,0,14.69,77,50,Standard
81,62.4,4.8,67.2,3.5 L,63,7500,2 L,21,3 L,3,24.7,0,0,14.69,77,50,Standard
82,62.1,4,66.1,4.3 L,63,8500,0,21,4 L,3,25,0,0,14.69,77,50,Standard
83,66.4,3.6,70,0,65,8500,0,22,0,3.2,28.9,0,0,14.69,77,50,Standard
84,65.9,2.9,68.9,1.6 L,65,9500,10 L,22,0,3.3,29,0,0,14.69,77,50,Standard
85,72.1,2.2,74.2,2 L,68,9500,10 L,24,0,3.6,36.6,0,0,14.69,77,50,Standard
86,72.1,2.1,74.2,1 L,68,9500,5 L,24,0,3.6,36.7,0,0,14.69,77,50,Standard
87,76.9,2.7,79.6,7.8 L,70,8000,5 L,25,5 L,3.8,41.1,0,0,14.69,77,50,Standard
88,76.9,2.7,79.6,6.7 L,70,8000,0,25,5 L,3.8,41.1,0,0,14.69,77,50,Standard
89,80.6,2.4,83,20.9 L,72,8000,0,26,15 L,4,46.3,0,0,14.69,77,50,Standard
90,81.5,1.2,82.7,23.3 L,72,7000,10 L,26,15 L,4,45.8,0,0,14.69,77,50,Standard
91,85.1,1,86.1,21.6 L,74,7000,10 L,27,13 L,4.2,51.3,0,0,14.69,77,50,Standard
92,85.1,1,86.1,19.1 L,74,7000,0,27,13 L,4.2,51.4,0,0,14.69,77,50,Standard
93,85.5,0.5,86,3 L,75,8000,0,28,2 L,4.4,55.8,0,0,14.69,77,50,Standard
94,85.5,0.5,86,3.5 L,75,8000,2 L,28,2 L,4.4,55.8,0,0,14.69,77,50,Standard
95,88.5,0.4,88.9,0.6 L,77,8000,2 L,29,0,4.6,61.7,0,0,14.69,77,50,Standard
96,91.5,1.2,92.7,0.6 L,77,6000,2 L,29,0,4.6,61,0,0,14.69,77,50,Standard
97,92,0.5,92.6,0.6 L,79,7500,2 L,30,0,4.8,67.8,0,0,14.69,77,50,Standard
98,92,0.5,92.6,0,79,7500,0,30,0,4.8,67.8,0,0,14.69,77,50,Standard
99,90.2,0.1,90.1,6.3 L,80,7500,0,35,4 L,5.2,82.7,0,0,14.69,77,50,Standard
100,90.2,0,90.2,8.9 L,80,7500,8 L,35,4 L,5.2,82.6,0,0,14.69,77,50,Standard
101,88.4,0.5,87.9,8.8 L,80,8500,8 L,35,4 L,5.2,82.6,0,0,14.69,77,50,Standard
102,94.8,0.8,94.1,9.9 L,88,8500,8 L,38,4 L,5.9,108.1,0,0,14.69,77,50,Standard
103,90.1,1.3,88.7,9.6 L,88,11500,8 L,38,4 L,5.8,107.1,0,0,14.69,77,50,Standard
104,90,1.3,88.6,15.6 L,88,11500,0,38,10 L,5.8,107.2,0,0,14.69,77,50,Standard
105,92.6,1.4,91.2,16.1 L,93,11000,0,40,10 L,6.2,124.3,0,0,14.69,77,50,Standard
